,game_id,genre_id
796,1187110,2
797,1187140,54
798,1187190,4
799,1187190,23
800,1187250,1
801,1187250,23
802,1187250,2
803,1186400,25
804,1186400,4
805,1186400,23
806,1186400,3
807,1186400,28
808,1186460,23
809,1186460,3
810,1186460,28
811,1186510,23
812,1186530,4
813,1186530,23
814,1186530,2
815,1186570,23
816,1186580,25
817,1186580,4
818,1186630,23
819,1186630,2
820,1186640,1
821,1186640,25
822,1186640,23
823,1186650,25
824,1186650,23
825,1186650,28
826,1186650,70
827,1186690,25
828,1186690,4
829,1186690,23
830,1186720,3
831,1186730,25
832,1186730,4
833,1186730,23
834,1186740,25
835,1186740,37
836,1186740,23
837,1186770,1
838,1186770,25
839,1186770,23
840,1186770,70
841,1186100,1
842,1186100,70
843,1186160,1
844,1186160,23
845,1186220,25
846,1186220,23
847,1186260,23
848,1186260,3
849,1186260,28
850,1186270,1
851,1186270,23
852,1186280,1
853,1186280,4
854,1186280,23
855,1186280,2
856,1186290,4
857,1186310,4
858,1186310,23
859,1186340,1
860,1186340,4
861,1186340,23
862,1186350,1
863,1186350,4
864,1186350,23
865,1186350,70
866,1185600,23
867,1185600,2
868,1185600,70
869,1185620,1
870,1185620,23
871,1185620,2
872,1185630,4
873,1185630,23
874,1185630,28
875,1185660,25
876,1185660,4
877,1185660,2
878,1185700,25
879,1185700,23
880,1185730,4
881,1185730,23
882,1185730,3
883,1185730,28
884,1185740,25
885,1185740,4
886,1185820,23
887,1185870,1
888,1185870,25
889,1185870,23
890,1185950,2
891,1185960,2
892,1186030,25
893,1186030,23
894,1186040,1
895,1186040,23
896,1185330,1
897,1185330,23
898,1185360,25
899,1185360,23
900,1185390,1
901,1185390,4
902,1185390,23
903,1185410,1
904,1185410,23
905,1185470,1
906,1185470,25
907,1185470,4
908,1185470,23
909,1185480,1
910,1185480,25
911,1185480,4
912,1185480,23
913,1185480,28
914,1185520,4
915,1185520,23
916,1185520,28
917,1185560,29
918,1185560,3
919,1184960,1
920,1184960,23
921,1184960,2
922,1184960,70
923,1184980,1
924,1184980,25
925,1184980,4
926,1184980,2
927,1184990,1
928,1184990,23
929,1185000,1
930,1185000,23
931,1185000,28
932,1185140,1
933,1185140,25
934,1185140,4
935,1185140,23
936,1185160,1
937,1185160,25
938,1185160,4
939,1185160,23
940,1185160,28
941,1185160,2
942,1185270,4
943,1185270,23
944,1185270,2
945,1185270,70
946,1185280,23
