,id,name,required_age,is_free,developers,review_score,total_positive,total_negative,total_reviews
282,1186730,Terro Lunkka Adventures,0,False,Tero Lunkka,0,1,0,1
283,1186740,Kyle is Famous,0,True,John Szymanski,0,2,0,2
284,1186770,Disgrâce,0,False,Bladiriel,0,0,1,1
285,1186100,Beast Brigade,0,False,David Valentine,0,4,1,5
286,1186160,All Day Dying: Redux Edition,0,False,Paulo Lopes,7,21,5,26
287,1186220,Wire Lips,0,False,AIHASTO,7,22,1,23
288,1186260,Bondage Girl,0,False,MCG,5,8,9,17
289,1186270,Nosferatu Lilinor,0,False,neon,0,2,0,2
290,1186280,Dodge If you Can!,0,False,Andrew H.P. Lee,0,2,0,2
291,1186290,Ballance: The Return,0,False,"Happy Happy Technology Chengdu Co., Ltd.",0,2,7,9
292,1186310,Mailbox,0,False,S'Games,0,1,1,2
293,1186340,Action Ball 2,0,False,Rionix,0,6,0,6
294,1186350,Lethal Tempting Girls,0,False,Soil Hammer Studio,0,2,0,2
295,1185600,神国：创造（The Kingdom of God）,0,False,明枭网络,0,0,1,1
296,1185620,NecroLand : Undead Corps,0,False,JANUS LABS,0,0,1,1
297,1185630,CubeParkour,0,False,Pit Forest,0,2,0,2
298,1185660,Sex Adventure - The Board Game,0,False,CritoGames,0,5,1,6
299,1185700,Arrog,0,False,LEAP Game Studios,7,27,4,31
300,1185730,Lovely Hentai,0,False,Snkl Studio,0,5,1,6
301,1185740,Mira,0,False,Too Husky,0,4,1,5
302,1185820,Hollow Island,0,False,Edym Pixels,8,46,6,52
303,1185870,Skyland 1976,0,False,Simon CLAVEL,6,11,3,14
304,1185950,Wars of the Roses,0,False,HexWar Games,0,6,2,8
305,1185960,Napoleon in Russia,0,False,HexWar Games,0,2,0,2
306,1186030,Death Park,0,False,Euphoria Games,7,9,1,10
307,1186040,Worms Rumble,0,False,Team17 Digital,6,364,101,465
308,1185330,Blades of Gory,0,False,Fortcullis Games,5,7,4,11
309,1185360,Alan Sharp,0,False,Mystive Studios,7,24,3,27
310,1185390,How to Become a Ninja: Part 1,0,False,Pixel vs Pixel,0,1,0,1
311,1185410,Minigame Blast,0,False,Northern Amusements,0,1,0,1
312,1185470,Deathbloom: Chapter 2,0,False,Vincent Lade,7,12,2,14
313,1185480,Doom of the Clawn,0,False,1scGames,0,4,0,4
314,1185520,Love Rhythm,0,False,Triple-S,8,120,27,147
315,1185560,Astellia,0,False,Studio 8,5,363,193,556
316,1184960,Escalation: Aggressors,0,False,Hubert Dzikuć,7,10,1,11
317,1184980,The Explorer,16,False,SedSanGames,0,0,1,1
318,1184990,Huuma Mina: The Secret of Immortality,0,False,Hajime Doujin Circle,8,60,5,65
319,1185000,Bloody trains,0,False,Marginal act,0,2,2,4
320,1185140,The Golden Cross,0,False,Jam Entertainment,0,3,0,3
321,1185160,Inunaki Tunnel | 犬鳴トンネル,0,False,Chilla's Art,8,76,18,94
322,1185270,经典扫雷,0,False,koyomogi,0,0,1,1
323,1185280,The Innkeeper,0,False,Game Brewery,0,3,0,3
324,1184450,Magic of Autumn,0,False,Small Moons,7,18,0,18
325,1184470,ASTROPUPPA,18,False,Dev.Id Games,0,1,0,1
326,1184500,YUKI,0,False,ARVORE Immersive Experiences,7,17,0,17
327,1184550,TERMINAL VR,0,False,REMANIC,5,9,4,13
328,1184570,Last Neighbor,0,False,TrerPlay,0,3,2,5
329,1184700,Whispered Secrets: Dreadful Beauty Collector's Edition,0,False,Grandma Studios,0,1,0,1
330,1184720,Later,0,False,Little Thingie,0,1,0,1
331,1184770,The Political Process,0,False,Verlumino Studios LLC,9,944,36,980
332,1184780,BOTS,0,False,KeyWheel,0,3,0,3
333,1184820,Poker Quest,0,False,Playsaurus,8,94,6,100
334,1184840,Chaos Galaxy,0,False,Han Zhiyu,8,65,8,73
