id,name,required_age,is_free,developers,review_score,total_positive,total_negative,total_reviews
1140420,Quantism,0,False,Wannes Vanoyenbrugge,0,2,1,3
1140440,OMON Simulator,0,False,Ukrainian Bears,6,94,36,130
1140460,V1RUZ,0,False,Polyverse Games,6,14,5,19
1140520,Graviton,0,False,Richter Games,0,2,0,2
1140530,Viper,0,False,X-ample Architectures,0,2,0,2
1140570,A Street Cat's Tale,0,False,feemodev,7,31,2,33
1139760,DEDstress,0,False,3StrakGames,7,10,0,10
1139800,Chinatris,0,False,仓鼠动力,7,25,1,26
1139830,Recyclomania,0,False,PixQuake,0,2,1,3
1139840,TILTit,0,False,MABE Play,0,1,0,1
1139860,CRUEL WORLD,0,False,SiberianGames,0,2,0,2
1139870,The Dark Eye : Book of Heroes,0,False,Random Potion Oy,5,28,41,69
1139880,Chapeau,0,False,Salt Castle Studio,0,7,0,7
1139890,Dictators:No Peace Countryballs,0,False,RPN Indie Developer,9,663,25,688
1139950,Two Weeks in Painland,0,True,Unusual Games,7,8,2,10
1140020,Cetetorius,0,False,VI.SH Games,0,0,2,2
1140030,AMazing TD,0,False,Go4 Entertainment,5,11,6,17
1140070,Tractor Cargo Driving Simulator,0,False,Boogygames Studios,0,6,1,7
1139240,HalloweenStory,0,False,Dnovel,0,4,0,4
1139310,Ven VR Adventure,0,False,Monologic Games,7,18,3,21
1139470,THE ART - Metamorphosis,0,False,Life Jumb DT,7,10,2,12
1139480,Mask of Sanity,0,False,UNICORE Games Studios,6,9,3,12
1139660,Marburgh,0,False,Marcotte,0,2,0,2
1139680,Pixamal Zoo,0,False,Monkey Maneuvers,0,3,0,3
1138800,Dark Elf's Adventure,0,False,Uzura Studio,0,0,1,1
1138810,Super Platformer Gun,0,False,Expresso Studios,0,1,1,2
1138960,Biomass,0,False,Final Scene dev,7,47,2,49
1138990,B.i.t.Lock,0,True,Petorio,0,2,0,2
1139020,Hentai Evilgirls,0,False,GentleDriver,0,3,2,5
1139090,Demolition Expert - The Simulation,0,False,abramedia,0,0,1,1
1139100,An Egg Can Dream,0,False,Floor Chicken,0,2,0,2
1139130,BioMech,0,False,ERMedia,0,1,2,3
1138260,Figure Simulator War,0,False,H-GIRL,7,11,0,11
1138280,Workhard,0,False,Red twice potato,0,0,1,1
1138290,Slime Adventure Legacy,0,False,Vlad Dunaev,0,1,0,1
1138300,I LIKE THE FLOWERS,0,False,Red twice potato,0,2,3,5
1138310,Morbolbo: Enter the Maze,0,False,Laughing Tower,0,1,0,1
1138320,AREA 51 - DEFENCE,0,False,SRS Games,0,0,5,5
1138370,Motel Bondage,0,False,D.i.D. Games,0,3,2,5
1138410,Demons Never Lie,0,False,IndieBug,7,23,2,25
1138440,Galactic Ruler,0,False,BattleGoat Studios,5,14,7,21
1138530,Jigoro,0,False,Azurezero,0,1,0,1
